Electoral District Code,Electoral District Name,Candidate's Ballot Name,Affiliation,Total Valid Votes,% of Popular Vote,Ballot Boxes Reported,Date,Time
BNN,Burnaby North,Wayne Michael Marklund, ,43,2.02%,16 of 137,14/05/2013,09:18:08 PM
BNN,Burnaby North,Carrie McLaren,Green Party of BC,166,7.79%,16 of 137,14/05/2013,09:18:08 PM
BNN,Burnaby North,Janet Routledge,BC NDP,949,44.55%,16 of 137,14/05/2013,09:18:08 PM
CBC,Cariboo-Chilcotin,Donna Barnett,BC Liberal Party,3245,56.78%,53 of 91,14/05/2013,09:18:08 PM
CBC,Cariboo-Chilcotin,Dustin Victor Price,Green Party of BC,335,5.86%,53 of 91,14/05/2013,09:18:08 PM
CBC,Cariboo-Chilcotin,Charlie Wyse,BC NDP,1922,33.63%,53 of 91,14/05/2013,09:18:08 PM
CBC,Cariboo-Chilcotin,Gary Young,Independent,213,3.73%,53 of 91,14/05/2013,09:18:08 PM
CBN,Cariboo North,Duncan Barnett,BC NDP,1825,21.08%,74 of 95,14/05/2013,09:18:08 PM
CBN,Cariboo North,Coralee Oakes,BC Liberal Party,3518,40.64%,74 of 95,14/05/2013,09:18:08 PM
CBN,Cariboo North,Bob Simpson,Independent,3313,38.27%,74 of 95,14/05/2013,09:18:08 PM
CHC,Chilliwack,Chad Elton Eros,BC Conservative Party,1349,12.21%,88 of 130,14/05/2013,09:18:08 PM
CHC,Chilliwack,Michael Raymond Halliday,BC Excalibur Party,90,0.81%,88 of 130,14/05/2013,09:18:08 PM
CHC,Chilliwack,Patti MacAhonic,BC NDP,3285,29.74%,88 of 130,14/05/2013,09:18:08 PM
CHC,Chilliwack,John Martin,BC Liberal Party,5362,48.55%,88 of 130,14/05/2013,09:18:08 PM
CHC,Chilliwack,Kim Reimer,Green Party of BC,958,8.67%,88 of 130,14/05/2013,09:18:08 PM
CHH,Chilliwack-Hope,Michael Henshall,BC Conservative Party,1164,11.32%,79 of 130,14/05/2013,09:18:08 PM
CHH,Chilliwack-Hope,Ryan Ashley McKinnon,Independent,437,4.25%,79 of 130,14/05/2013,09:18:08 PM
CHH,Chilliwack-Hope,Gwen O'Mahony,BC NDP,3530,34.34%,79 of 130,14/05/2013,09:18:08 PM
CHH,Chilliwack-Hope,Laurie Throness,BC Liberal Party,5150,50.09%,79 of 130,14/05/2013,09:18:08 PM
CLR,Columbia River-Revelstoke,Doug Clovechok,BC Liberal Party,1659,39.35%,41 of 89,14/05/2013,09:18:08 PM
CLR,Columbia River-Revelstoke,Norm Macdonald,BC NDP,1892,44.88%,41 of 89,14/05/2013,09:18:08 PM
CLR,Columbia River-Revelstoke,Earl Olsen,BC Conservative Party,355,8.42%,41 of 89,14/05/2013,09:18:08 PM
CLR,Columbia River-Revelstoke,Laurel Ralston,Green Party of BC,310,7.35%,41 of 89,14/05/2013,09:18:08 PM
CMX,Comox Valley,Chris Aikman,Green Party of BC,1125,12.80%,74 of 172,14/05/2013,09:18:08 PM
CMX,Comox Valley,Kassandra Dycke,BC NDP,3421,38.93%,74 of 172,14/05/2013,09:18:08 PM
CMX,Comox Valley,Diane Hoffmann,BC Conservative Party,468,5.33%,74 of 172,14/05/2013,09:18:08 PM
CMX,Comox Valley,Don McRae,BC Liberal Party,3774,42.94%,74 of 172,14/05/2013,09:18:08 PM
CQB,Coquitlam-Burke Mountain,Paul Geddes,Libertarian,62,1.54%,41 of 136,14/05/2013,09:18:08 PM
CQB,Coquitlam-Burke Mountain,Douglas Horne,BC Liberal Party,1829,45.34%,41 of 136,14/05/2013,09:18:08 PM
CQB,Coquitlam-Burke Mountain,Shane Kennedy,BC Conservative Party,201,4.98%,41 of 136,14/05/2013,09:18:08 PM
CQB,Coquitlam-Burke Mountain,Ron Peters,Green Party of BC,252,6.25%,41 of 136,14/05/2013,09:18:08 PM
CQB,Coquitlam-Burke Mountain,Chris Wilson,BC NDP,1690,41.89%,41 of 136,14/05/2013,09:18:08 PM
CQM,Coquitlam-Maillardville,Steve Kim,BC Liberal Party,2617,46.08%,55 of 154,14/05/2013,09:18:08 PM
CQM,Coquitlam-Maillardville,Selina Mae Robinson,BC NDP,2524,44.44%,55 of 154,14/05/2013,09:18:08 PM
CQM,Coquitlam-Maillardville,Edward Andreas Stanbrough,Green Party of BC,538,9.47%,55 of 154,14/05/2013,09:18:08 PM
CWV,Cowichan Valley,Heather Alanna Campbell,Independent,89,1.28%,49 of 144,14/05/2013,09:18:08 PM
CWV,Cowichan Valley,Kerry Davis,Green Party of BC,1279,18.43%,49 of 144,14/05/2013,09:18:08 PM
CWV,Cowichan Valley,Steve Housser,BC Liberal Party,2608,37.57%,49 of 144,14/05/2013,09:18:08 PM
CWV,Cowichan Valley,Bill Routley,BC NDP,2643,38.08%,49 of 144,14/05/2013,09:18:08 PM
CWV,Cowichan Valley,Damir Wallener,BC Conservative Party,322,4.64%,49 of 144,14/05/2013,09:18:08 PM
DLN,Delta North,Sylvia Bishop,BC NDP,2776,43.55%,45 of 113,14/05/2013,09:18:08 PM
DLN,Delta North,George Gidora,Communist Party of BC,21,0.33%,45 of 113,14/05/2013,09:18:08 PM
DLN,Delta North,Scott Hamilton,BC Liberal Party,2872,45.06%,45 of 113,14/05/2013,09:18:08 PM
DLN,Delta North,Bill Marshall,Green Party of BC,364,5.71%,45 of 113,14/05/2013,09:18:08 PM
DLN,Delta North,Tinku Parmar,BC Conservative Party,276,4.33%,45 of 113,14/05/2013,09:18:08 PM
DLN,Delta North,John Shrek Shavluk,Independent,65,1.02%,45 of 113,14/05/2013,09:18:08 PM
DLS,Delta South,Vicki Huntington,Independent,2278,47.53%,32 of 123,14/05/2013,09:18:08 PM
DLS,Delta South,Bruce McDonald,BC Liberal Party,1839,38.37%,32 of 123,14/05/2013,09:18:08 PM
DLS,Delta South,Nic Slater,BC NDP,676,14.10%,32 of 123,14/05/2013,09:18:08 PM
ESR,Esquimalt-Royal Roads,Maurine Karagianis,BC NDP,2549,44.40%,47 of 130,14/05/2013,09:18:08 PM
ESR,Esquimalt-Royal Roads,Susan Christina Low,Green Party of BC,1210,21.08%,47 of 130,14/05/2013,09:18:08 PM
ESR,Esquimalt-Royal Roads,Chris Ricketts,BC Liberal Party,1885,32.83%,47 of 130,14/05/2013,09:18:08 PM
ESR,Esquimalt-Royal Roads,Joshua Steffler,Independent,97,1.69%,47 of 130,14/05/2013,09:18:08 PM
FLA,Fort Langley-Aldergrove,Rich Coleman,BC Liberal Party,6129,53.83%,75 of 158,14/05/2013,09:18:08 PM
FLA,Fort Langley-Aldergrove,Lisa David,Green Party of BC,943,8.28%,75 of 158,14/05/2013,09:18:08 PM
FLA,Fort Langley-Aldergrove,Shane Dyson,BC NDP,2991,26.27%,75 of 158,14/05/2013,09:18:08 PM
FLA,Fort Langley-Aldergrove,Rick Manuel,BC Conservative Party,1032,9.06%,75 of 158,14/05/2013,09:18:08 PM
FLA,Fort Langley-Aldergrove,Kevin Mitchell,Independent,290,2.55%,75 of 158,14/05/2013,09:18:08 PM
FRN,Fraser-Nicola,Michael Beauclair,BC Conservative Party,465,6.94%,65 of 100,14/05/2013,09:18:08 PM
FRN,Fraser-Nicola,John Kidder,Green Party of BC,617,9.21%,65 of 100,14/05/2013,09:18:08 PM
FRN,Fraser-Nicola,Harry Lali,BC NDP,2463,36.76%,65 of 100,14/05/2013,09:18:08 PM
FRN,Fraser-Nicola,Jackie Tegart,BC Liberal Party,3156,47.10%,65 of 100,14/05/2013,09:18:08 PM
JDF,Juan de Fuca,John Horgan,BC NDP,2856,51.43%,48 of 131,14/05/2013,09:18:08 PM
JDF,Juan de Fuca,Kerrie Reay,BC Liberal Party,1762,31.73%,48 of 131,14/05/2013,09:18:08 PM
JDF,Juan de Fuca,Carlos Serra,Green Party of BC,935,16.84%,48 of 131,14/05/2013,09:18:08 PM
KAN,Kamloops-North Thompson,John Ford, ,113,2.16%,50 of 155,14/05/2013,09:18:08 PM
KAN,Kamloops-North Thompson,Kathy Kendall,BC NDP,2076,39.60%,50 of 155,14/05/2013,09:18:08 PM
KAN,Kamloops-North Thompson,Ed Klop,BC Conservative Party,381,7.27%,50 of 155,14/05/2013,09:18:08 PM
KAN,Kamloops-North Thompson,Terry Lake,BC Liberal Party,2672,50.97%,50 of 155,14/05/2013,09:18:08 PM
KAS,Kamloops-South Thompson,Brian Arthur Alexander,Independent,144,1.62%,72 of 152,14/05/2013,09:18:08 PM
KAS,Kamloops-South Thompson,Tom Friedman,BC NDP,3152,35.44%,72 of 152,14/05/2013,09:18:08 PM
KAS,Kamloops-South Thompson,Peter Sharp,BC Conservative Party,507,5.70%,72 of 152,14/05/2013,09:18:08 PM
KAS,Kamloops-South Thompson,Todd Graham Stone,BC Liberal Party,5091,57.24%,72 of 152,14/05/2013,09:18:08 PM
KLA,Kelowna-Lake Country,Gary Adams,Green Party of BC,736,7.42%,99 of 157,14/05/2013,09:18:08 PM
KLA,Kelowna-Lake Country,Graeme James,BC Conservative Party,1068,10.77%,99 of 157,14/05/2013,09:18:08 PM
KLA,Kelowna-Lake Country,Norm Letnick,BC Liberal Party,5707,57.52%,99 of 157,14/05/2013,09:18:08 PM
KLA,Kelowna-Lake Country,Mike Nuyens,BC NDP,2410,24.29%,99 of 157,14/05/2013,09:18:08 PM
KMI,Kelowna-Mission,Tish Lakes,BC NDP,744,26.45%,30 of 185,14/05/2013,09:18:08 PM
KMI,Kelowna-Mission,Mike McLoughlin,BC Conservative Party,337,11.98%,30 of 185,14/05/2013,09:18:08 PM
KMI,Kelowna-Mission,Steve Thomson,BC Liberal Party,1567,55.71%,30 of 185,14/05/2013,09:18:08 PM
KMI,Kelowna-Mission,Dayleen Van Ryswyk, ,165,5.87%,30 of 185,14/05/2013,09:18:08 PM
KOE,Kootenay East,Bill Bennett,BC Liberal Party,3979,63.12%,63 of 115,14/05/2013,09:18:08 PM
KOE,Kootenay East,Norma Blissett,BC NDP,2325,36.88%,63 of 115,14/05/2013,09:18:08 PM
KOW,Kootenay West,Glen Curtis Byle,Independent,158,2.48%,50 of 114,14/05/2013,09:18:08 PM
KOW,Kootenay West,Katrine Conroy,BC NDP,4007,62.98%,50 of 114,14/05/2013,09:18:08 PM
KOW,Kootenay West,Joseph Peter Hughes,Independent,867,13.63%,50 of 114,14/05/2013,09:18:08 PM
KOW,Kootenay West,Jim Postnikoff,BC Liberal Party,1330,20.91%,50 of 114,14/05/2013,09:18:08 PM
LLY,Langley,John Cummins,BC Conservative Party,1656,12.15%,107 of 160,14/05/2013,09:18:08 PM
LLY,Langley,Wally Martin,Green Party of BC,1329,9.75%,107 of 160,14/05/2013,09:18:08 PM
LLY,Langley,Andrew Mercier,BC NDP,3492,25.62%,107 of 160,14/05/2013,09:18:08 PM
LLY,Langley,Mary Polak,BC Liberal Party,7152,52.48%,107 of 160,14/05/2013,09:18:08 PM
MRM,Maple Ridge-Mission,Mike Bocking,BC NDP,982,46.76%,17 of 125,14/05/2013,09:18:08 PM
MRM,Maple Ridge-Mission,Marc H. J. Dalton,BC Liberal Party,810,38.57%,17 of 125,14/05/2013,09:18:08 PM
MRM,Maple Ridge-Mission,Alex Pope,Green Party of BC,194,9.24%,17 of 125,14/05/2013,09:18:08 PM
MRM,Maple Ridge-Mission,Chad Thompson,BC Conservative Party,114,5.43%,17 of 125,14/05/2013,09:18:08 PM
MRP,Maple Ridge-Pitt Meadows,Doug Bing,BC Liberal Party,3458,47.24%,56 of 129,14/05/2013,09:18:08 PM
MRP,Maple Ridge-Pitt Meadows,Michael Lawrence Patterson,Green Party of BC,707,9.66%,56 of 129,14/05/2013,09:18:08 PM
MRP,Maple Ridge-Pitt Meadows,Manuel "Mike" Pratas, ,164,2.24%,56 of 129,14/05/2013,09:18:08 PM
MRP,Maple Ridge-Pitt Meadows,Elizabeth Joan Rosenau,BC NDP,2991,40.86%,56 of 129,14/05/2013,09:18:08 PM
NAN,Nanaimo,Walter Douglas Anderson,BC Liberal Party,3405,37.48%,69 of 136,14/05/2013,09:18:08 PM
NAN,Nanaimo,Brunie Brunie,Independent,104,1.14%,69 of 136,14/05/2013,09:18:08 PM
NAN,Nanaimo,Bryce Nelson Crigger,BC Conservative Party,476,5.24%,69 of 136,14/05/2013,09:18:08 PM
NAN,Nanaimo,Ian Elliot Gartshore,Green Party of BC,991,10.91%,69 of 136,14/05/2013,09:18:08 PM
NAN,Nanaimo,Leonard Eugene Krog,BC NDP,4109,45.23%,69 of 136,14/05/2013,09:18:08 PM
NCW,Nanaimo-North Cowichan,Amanda Lee Jacobson,BC Liberal Party,941,30.19%,25 of 136,14/05/2013,09:18:08 PM
NCW,Nanaimo-North Cowichan,Mayo McDonough,Green Party of BC,439,14.08%,25 of 136,14/05/2013,09:18:08 PM
NCW,Nanaimo-North Cowichan,Murray McNab,Independent,73,2.34%,25 of 136,14/05/2013,09:18:08 PM
NCW,Nanaimo-North Cowichan,P. Anna Paddon,Independent,13,0.42%,25 of 136,14/05/2013,09:18:08 PM
NCW,Nanaimo-North Cowichan,Doug Routley,BC NDP,1445,46.36%,25 of 136,14/05/2013,09:18:08 PM
NCW,Nanaimo-North Cowichan,John James Donald Sherry,BC Conservative Party,206,6.61%,25 of 136,14/05/2013,09:18:08 PM
NEC,Nechako Lakes,Beverly Bird,Advocational Party,22,0.69%,35 of 85,14/05/2013,09:18:08 PM
NEC,Nechako Lakes,Dan Brooks,BC Conservative Party,441,13.82%,35 of 85,14/05/2013,09:18:08 PM
NEC,Nechako Lakes,Colin Hamm,Green Party of BC,164,5.14%,35 of 85,14/05/2013,09:18:08 PM
NEC,Nechako Lakes,John Rustad,BC Liberal Party,1709,53.57%,35 of 85,14/05/2013,09:18:08 PM
NEC,Nechako Lakes,Sussanne Skidmore-Hewlett,BC NDP,854,26.77%,35 of 85,14/05/2013,09:18:08 PM
NEL,Nelson-Creston,Sjeng Derkx,Green Party of BC,1024,21.37%,40 of 103,14/05/2013,09:18:08 PM
NEL,Nelson-Creston,Greg Garbula,BC Liberal Party,1393,29.07%,40 of 103,14/05/2013,09:18:08 PM
NEL,Nelson-Creston,Michelle Mungall,BC NDP,2375,49.56%,40 of 103,14/05/2013,09:18:08 PM
NEW,New Westminster,Hector Bremner,BC Liberal Party,1151,36.77%,24 of 165,14/05/2013,09:18:08 PM
NEW,New Westminster,James Crosty,Independent,126,4.03%,24 of 165,14/05/2013,09:18:08 PM
NEW,New Westminster,Lewis Clarke Dahlby,Libertarian,20,0.64%,24 of 165,14/05/2013,09:18:08 PM
NEW,New Westminster,Judy Darcy,BC NDP,1401,44.76%,24 of 165,14/05/2013,09:18:08 PM
NEW,New Westminster,Paul Forseth,BC Conservative Party,196,6.26%,24 of 165,14/05/2013,09:18:08 PM
NEW,New Westminster,Terry Douglas Teather,Green Party of BC,236,7.54%,24 of 165,14/05/2013,09:18:08 PM
NOC,North Coast,Hondo Arendt,Green Party of BC,490,9.95%,45 of 67,14/05/2013,09:18:08 PM
NOC,North Coast,Judy Fraser,BC Liberal Party,1891,38.39%,45 of 67,14/05/2013,09:18:08 PM
NOC,North Coast,Jennifer Rice,BC NDP,2545,51.66%,45 of 67,14/05/2013,09:18:08 PM
NOI,North Island,Bob Bray,BC Conservative Party,430,7.07%,59 of 153,14/05/2013,09:18:08 PM
NOI,North Island,Nick Facey,BC Liberal Party,2342,38.52%,59 of 153,14/05/2013,09:18:08 PM
NOI,North Island,Claire Felicity Trevena,BC NDP,3308,54.41%,59 of 153,14/05/2013,09:18:08 PM
NVL,North Vancouver-Lonsdale,Kimball Cariou,Communist Party of BC,28,0.39%,56 of 131,14/05/2013,09:18:08 PM
NVL,North Vancouver-Lonsdale,Ryan Conroy,Green Party of BC,658,9.20%,56 of 131,14/05/2013,09:18:08 PM
NVL,North Vancouver-Lonsdale,Carra-Lynn Hodgson,British Columbia Party,17,0.24%,56 of 131,14/05/2013,09:18:08 PM
NVL,North Vancouver-Lonsdale,Craig Keating,BC NDP,2786,38.94%,56 of 131,14/05/2013,09:18:08 PM
NVL,North Vancouver-Lonsdale,Allan John Molyneaux,BC Conservative Party,246,3.44%,56 of 131,14/05/2013,09:18:08 PM
NVL,North Vancouver-Lonsdale,Laurence Watt,Libertarian,55,0.77%,56 of 131,14/05/2013,09:18:08 PM
NVL,North Vancouver-Lonsdale,Naomi Yamamoto,BC Liberal Party,3364,47.02%,56 of 131,14/05/2013,09:18:08 PM
NVS,North Vancouver-Seymour,Jim Hanson,BC NDP,1111,32.19%,24 of 127,14/05/2013,09:18:08 PM
NVS,North Vancouver-Seymour,Daniel Scott Smith,Green Party of BC,297,8.61%,24 of 127,14/05/2013,09:18:08 PM
NVS,North Vancouver-Seymour,Jane Thornthwaite,BC Liberal Party,1738,50.36%,24 of 127,14/05/2013,09:18:08 PM
NVS,North Vancouver-Seymour,Jaime Alexandra Webbe,Independent,162,4.69%,24 of 127,14/05/2013,09:18:08 PM
NVS,North Vancouver-Seymour,Brian R. Wilson,BC Conservative Party,143,4.14%,24 of 127,14/05/2013,09:18:08 PM
OBG,Oak Bay-Gordon Head,Ida Chong,BC Liberal Party,1646,27.49%,47 of 134,14/05/2013,09:18:08 PM
OBG,Oak Bay-Gordon Head,Greg Kazakoff,BC Conservative Party,131,2.19%,47 of 134,14/05/2013,09:18:08 PM
OBG,Oak Bay-Gordon Head,Jessica Van der Veen,BC NDP,1825,30.48%,47 of 134,14/05/2013,09:18:08 PM
OBG,Oak Bay-Gordon Head,Andrew Weaver,Green Party of BC,2385,39.84%,47 of 134,14/05/2013,09:18:08 PM
PAQ,Parksville-Qualicum,Barry Avis,BC NDP,3707,39.06%,74 of 151,14/05/2013,09:18:08 PM
PAQ,Parksville-Qualicum,David Bernard Coupland,BC Conservative Party,1258,13.26%,74 of 151,14/05/2013,09:18:08 PM
PAQ,Parksville-Qualicum,Michelle Stilwell,BC Liberal Party,4525,47.68%,74 of 151,14/05/2013,09:18:08 PM
PCN,Peace River North,Judy Ann Fox-McGuire,BC NDP,142,9.07%,21 of 102,14/05/2013,09:18:08 PM
PCN,Peace River North,Arthur Austin Hadland,Independent,513,32.76%,21 of 102,14/05/2013,09:18:08 PM
PCN,Peace River North,Pat Pimm,BC Liberal Party,765,48.85%,21 of 102,14/05/2013,09:18:08 PM
PCN,Peace River North,Wyeth Sigurdson,BC Conservative Party,146,9.32%,21 of 102,14/05/2013,09:18:08 PM
PCS,Peace River South,Mike Bernier,BC Liberal Party,1488,48.47%,28 of 69,14/05/2013,09:18:08 PM
PCS,Peace River South,Kurt Zane Peats,BC Conservative Party,847,27.59%,28 of 69,14/05/2013,09:18:08 PM
PCS,Peace River South,Tyrel Andrew Pohl,Independent,160,5.21%,28 of 69,14/05/2013,09:18:08 PM
PCS,Peace River South,Darwin Wren,BC NDP,575,18.73%,28 of 69,14/05/2013,09:18:08 PM
PEN,Penticton,Dan Ashton,BC Liberal Party,2548,44.78%,70 of 184,14/05/2013,09:18:08 PM
PEN,Penticton,Richard James Cannings,BC NDP,2399,42.16%,70 of 184,14/05/2013,09:18:08 PM
PEN,Penticton,Doug Maxwell,BC First,263,4.62%,70 of 184,14/05/2013,09:18:08 PM
PEN,Penticton,Sean Upshaw,BC Conservative Party,480,8.44%,70 of 184,14/05/2013,09:18:08 PM
POC,Port Coquitlam,Jogender Dahiya (JD),Libertarian,117,1.52%,61 of 148,14/05/2013,09:18:08 PM
POC,Port Coquitlam,Mike Farnworth,BC NDP,3875,50.23%,61 of 148,14/05/2013,09:18:08 PM
POC,Port Coquitlam,Ryan Hague,BC Conservative Party,514,6.66%,61 of 148,14/05/2013,09:18:08 PM
POC,Port Coquitlam,Barbara Lu,BC Liberal Party,3055,39.60%,61 of 148,14/05/2013,09:18:08 PM
POC,Port Coquitlam,Brent Williams,YPP,154,2.00%,61 of 148,14/05/2013,09:18:08 PM
POM,Port Moody-Coquitlam,Billie Helps,Green Party of BC,556,8.27%,57 of 137,14/05/2013,09:18:08 PM
POM,Port Moody-Coquitlam,Jeff Monds,Libertarian,76,1.13%,57 of 137,14/05/2013,09:18:08 PM
POM,Port Moody-Coquitlam,Linda Reimer,BC Liberal Party,2967,44.13%,57 of 137,14/05/2013,09:18:08 PM
POM,Port Moody-Coquitlam,Joe Trasolini,BC NDP,3125,46.48%,57 of 137,14/05/2013,09:18:08 PM
POR,Powell River-Sunshine Coast,Patrick Muncaster,BC Liberal Party,4299,33.68%,95 of 136,14/05/2013,09:18:08 PM
POR,Powell River-Sunshine Coast,Nicholas Simons,BC NDP,6997,54.81%,95 of 136,14/05/2013,09:18:08 PM
POR,Powell River-Sunshine Coast,Richard Carl Till,Green Party of BC,1469,11.51%,95 of 136,14/05/2013,09:18:08 PM
PRM,Prince George-Mackenzie,Bobby Deepak,BC NDP,1934,33.13%,51 of 115,14/05/2013,09:18:08 PM
PRM,Prince George-Mackenzie,Karen McDowell,Green Party of BC,358,6.13%,51 of 115,14/05/2013,09:18:08 PM
PRM,Prince George-Mackenzie,Mike Morris,BC Liberal Party,3278,56.16%,51 of 115,14/05/2013,09:18:08 PM
PRM,Prince George-Mackenzie,Terry Rysz,BC Conservative Party,267,4.57%,51 of 115,14/05/2013,09:18:08 PM
PRV,Prince George-Valemount,Shirley Bond,BC Liberal Party,2726,60.03%,38 of 129,14/05/2013,09:18:08 PM
PRV,Prince George-Valemount,Nathan Giede,BC Conservative Party,269,5.92%,38 of 129,14/05/2013,09:18:08 PM
PRV,Prince George-Valemount,Sherry Ogasawara,BC NDP,1472,32.42%,38 of 129,14/05/2013,09:18:08 PM
PRV,Prince George-Valemount,Donald A. Roberts,Christian Heritage Party of B.C.,74,1.63%,38 of 129,14/05/2013,09:18:08 PM
RCC,Richmond Centre,Lawrence Chen,BC Conservative Party,272,5.07%,70 of 153,14/05/2013,09:18:08 PM
RCC,Richmond Centre,Chanel Donovan,Unparty: The Consensus-Building Party,23,0.43%,70 of 153,14/05/2013,09:18:08 PM
RCC,Richmond Centre,Frank Yunrong Huang,BC NDP,1194,22.27%,70 of 153,14/05/2013,09:18:08 PM
RCC,Richmond Centre,Gary Law,Independent,460,8.58%,70 of 153,14/05/2013,09:18:08 PM
RCC,Richmond Centre,Richard Lee,Independent,177,3.30%,70 of 153,14/05/2013,09:18:08 PM
RCC,Richmond Centre,Teresa Wat,BC Liberal Party,2727,50.87%,70 of 153,14/05/2013,09:18:08 PM
RCC,Richmond Centre,Michael Wolfe,Green Party of BC,508,9.48%,70 of 153,14/05/2013,09:18:08 PM
RCE,Richmond East,Ping Chan,BC Excalibur Party,68,0.84%,70 of 144,14/05/2013,09:18:08 PM
RCE,Richmond East,Lloyd Chen,Independent,89,1.11%,70 of 144,14/05/2013,09:18:08 PM
RCE,Richmond East,Nathaniel Lim,BC Conservative Party,719,8.93%,70 of 144,14/05/2013,09:18:08 PM
RCE,Richmond East,Doug Perry,Green Party of BC,463,5.75%,70 of 144,14/05/2013,09:18:08 PM
RCE,Richmond East,Linda Reid,BC Liberal Party,4375,54.35%,70 of 144,14/05/2013,09:18:08 PM
